method,representation,k,silhouette,calinski_harabasz,davies_bouldin,n_clusters,min_cluster_size,max_cluster_size,noise_ratio,linkage,metric,eps,min_samples
DBSCAN,Qwen embeddings method-sample,,0.6325238943099976,1241.1559457284143,1.0272799001478925,10,125,989,0.051,,cosine,0.15,5.0
DBSCAN,Qwen embeddings method-sample,,0.6351048946380615,1247.5552908984826,1.0244399089964276,10,125,987,0.0556,,cosine,0.15,10.0
DBSCAN,Qwen embeddings method-sample,,0.6361128687858582,1250.3671751133447,1.023351643587856,10,125,987,0.0576,,cosine,0.15,20.0
DBSCAN,Qwen embeddings method-sample,,0.46310552954673767,829.3443841882698,1.265757938770465,7,125,2498,0.0148,,cosine,0.2,5.0
DBSCAN,Qwen embeddings method-sample,,0.46310552954673767,829.3443841882698,1.265757938770465,7,125,2498,0.0148,,cosine,0.2,10.0
DBSCAN,Qwen embeddings method-sample,,0.46332237124443054,829.5400115127933,1.2652088118282552,7,125,2496,0.0156,,cosine,0.2,20.0
DBSCAN,Qwen embeddings method-sample,,0.3906460702419281,772.9487637204561,1.3381536474250288,5,126,3210,0.0044,,cosine,0.25,5.0
DBSCAN,Qwen embeddings method-sample,,0.3906460702419281,772.9487637204561,1.3381536474250288,5,126,3210,0.0044,,cosine,0.25,10.0
DBSCAN,Qwen embeddings method-sample,,0.3906460702419281,772.9487637204561,1.3381536474250288,5,126,3210,0.0044,,cosine,0.25,20.0
DBSCAN,Qwen embeddings method-sample,,0.33515945076942444,989.0063172950811,1.1741554705103214,2,692,4304,0.0008,,cosine,0.3,5.0
DBSCAN,Qwen embeddings method-sample,,0.33515945076942444,989.0063172950811,1.1741554705103214,2,692,4304,0.0008,,cosine,0.3,10.0
DBSCAN,Qwen embeddings method-sample,,0.33515945076942444,989.0063172950811,1.1741554705103214,2,692,4304,0.0008,,cosine,0.3,20.0
DBSCAN,Qwen embeddings method-sample,,0.3350162208080292,988.7430219318801,1.174285042960404,2,692,4306,0.0004,,cosine,0.35,5.0
DBSCAN,Qwen embeddings method-sample,,0.3350162208080292,988.7430219318801,1.174285042960404,2,692,4306,0.0004,,cosine,0.35,10.0
DBSCAN,Qwen embeddings method-sample,,0.3350162208080292,988.7430219318801,1.174285042960404,2,692,4306,0.0004,,cosine,0.35,20.0
DBSCAN,Qwen embeddings method-sample,,,,,1,4999,4999,0.0002,,cosine,0.4,5.0
DBSCAN,Qwen embeddings method-sample,,,,,1,4999,4999,0.0002,,cosine,0.4,10.0
DBSCAN,Qwen embeddings method-sample,,,,,1,4999,4999,0.0002,,cosine,0.4,20.0
DBSCAN,Qwen embeddings method-sample,,,,,1,5000,5000,0.0,,cosine,0.45,5.0
DBSCAN,Qwen embeddings method-sample,,,,,1,5000,5000,0.0,,cosine,0.45,10.0
DBSCAN,Qwen embeddings method-sample,,,,,1,5000,5000,0.0,,cosine,0.45,20.0
DBSCAN,Qwen embeddings method-sample,,,,,1,5000,5000,0.0,,cosine,0.5,5.0
DBSCAN,Qwen embeddings method-sample,,,,,1,5000,5000,0.0,,cosine,0.5,10.0
DBSCAN,Qwen embeddings method-sample,,,,,1,5000,5000,0.0,,cosine,0.5,20.0
